Indicator,Geography,Year,Strata,Strata Name,Numerator,Denominator,Rate,Age Adjusted Rate
Suicide,CALIFORNIA,2000,Sex,Female,682,17080000,3.993,4.067
Suicide,CALIFORNIA,2000,Sex,Male,2431,16920000,14.37,15.89
Suicide,CALIFORNIA,2000,Sex,Total,3113,34000000,9.156,9.564
Suicide,CALIFORNIA,2001,Sex,Female,685,17340000,3.95,4.005
Suicide,CALIFORNIA,2001,Sex,Male,2571,17170000,14.97,16.41
Suicide,CALIFORNIA,2001,Sex,Total,3256,34510000,9.434,9.813
Suicide,CALIFORNIA,2002,Sex,Female,710,17550000,4.045,4.088
Suicide,CALIFORNIA,2002,Sex,Male,2500,17380000,14.38,15.81
Suicide,CALIFORNIA,2002,Sex,Total,3210,34940000,9.188,9.548
Suicide,CALIFORNIA,2003,Sex,Female,733,17780000,4.122,4.15
Suicide,CALIFORNIA,2003,Sex,Total,2663,17610000,15.13,16.32
Suicide,CALIFORNIA,2003,Sex,Total,3396,35390000,9.596,9.896
Suicide,CALIFORNIA,2004,Sex,Female,821,17970000,4.569,4.576
Suicide,CALIFORNIA,2004,Sex,Male,2543,17780000,14.3,15.34
Suicide,CALIFORNIA,2004,Sex,Total,3364,35750000,9.409,9.65
Suicide,CALIFORNIA,2005,Sex,Female,721,18090000,3.986,3.977
Suicide,CALIFORNIA,2005,Sex,Male,2399,17900000,13.4,14.36
Suicide,CALIFORNIA,2005,Sex,Total,3121,35990000,8.673,8.881
Suicide,CALIFORNIA,2006,Sex,Female,733,18220000,4.023,3.99
Suicide,CALIFORNIA,2006,Sex,Male,2506,18030000,13.9,14.67
Suicide,CALIFORNIA,2006,Sex,Total,3239,36250000,8.936,9.059
Suicide,CALIFORNIA,2007,Sex,Female,810,18370000,4.409,4.323
Suicide,CALIFORNIA,2007,Sex,Male,2675,18180000,14.71,15.31
Suicide,CALIFORNIA,2007,Sex,Total,3485,36550000,9.534,9.593
Suicide,CALIFORNIA,2008,Sex,Female,854,18530000,4.61,4.522
Suicide,CALIFORNIA,2008,Sex,Male,2836,18330000,15.47,16.1
Suicide,CALIFORNIA,2008,Sex,Total,3690,36860000,10.01,10.04
Suicide,CALIFORNIA,2009,Sex,Female,890,18630000,4.776,4.639
Suicide,CALIFORNIA,2009,Sex,Male,2847,18440000,15.44,15.64
Suicide,CALIFORNIA,2009,Sex,Total,3737,37080000,10.08,9.918
Suicide,CALIFORNIA,2010,Sex,Female,857,18770000,4.565,4.438
Suicide,CALIFORNIA,2010,Sex,Male,2948,18560000,15.88,16.1
Suicide,CALIFORNIA,2010,Sex,Total,3805,37330000,10.19,10.01
Suicide,CALIFORNIA,2011,Sex,Female,944,18940000,4.984,4.817
Suicide,CALIFORNIA,2011,Sex,Male,2995,18730000,15.99,16.17
Suicide,CALIFORNIA,2011,Sex,Total,3939,37670000,10.46,10.27
Suicide,CALIFORNIA,2012,Sex,Female,830,19130000,4.34,4.179
Suicide,CALIFORNIA,2012,Sex,Male,2995,18920000,15.83,15.96
Suicide,CALIFORNIA,2012,Sex,Total,3825,38040000,10.05,9.841
Suicide,CALIFORNIA,2013,Sex,Female,916,19290000,4.749,4.527
Suicide,CALIFORNIA,2013,Sex,Male,3000,19080000,15.72,15.83
Suicide,CALIFORNIA,2013,Sex,Total,3916,38370000,10.2,9.944
Suicide,CALIFORNIA,2014,Sex,Female,965,19470000,4.957,4.729
Suicide,CALIFORNIA,2014,Sex,Male,3168,19270000,16.44,16.48
Suicide,CALIFORNIA,2014,Sex,Total,4133,38740000,10.67,10.36
Suicide,CALIFORNIA,2015,Sex,Female,994,19630000,5.065,4.868
Suicide,CALIFORNIA,2015,Sex,Male,3122,19430000,16.07,15.97
Suicide,CALIFORNIA,2015,Sex,Total,4116,39060000,10.54,10.21
Suicide,CALIFORNIA,2016,Sex,Female,989,19770000,5.002,4.73
Suicide,CALIFORNIA,2016,Sex,Male,3223,19580000,16.46,16.28
Suicide,CALIFORNIA,2016,Sex,Total,4212,39350000,10.7,10.33
Suicide,CALIFORNIA,2017,Sex,Female,933,19930000,4.681,4.443
Suicide,CALIFORNIA,2017,Sex,Male,3297,19760000,16.68,16.37
Suicide,CALIFORNIA,2017,Sex,Total,4230,39690000,10.66,10.26
Suicide,CALIFORNIA,2000-2002,Sex,Female,2077,51970000,3.996,4.053
Suicide,CALIFORNIA,2000-2002,Sex,Male,7502,51480000,14.57,16.04
